,currency,event,impact,previous_value,forecast_value,actual_value
6235,USD,CB Consumer Confidence,Medium Impact Expected,125.1,122.9,113.8
6236,AUD,AIG Manufacturing Index,Low Impact Expected,60.8,,51.6
6237,GBP,BRC Shop Price Index y/y,Low Impact Expected,-1.2%,,-0.8%
6238,JPY,Capital Spending q/y,Low Impact Expected,-7.8%,3.4%,5.3%
6239,JPY,Final Manufacturing PMI,Low Impact Expected,52.4,52.4,52.7
6240,AUD,GDP q/q,High Impact Expected,1.9%,0.5%,0.7%
6241,CNY,Caixin Manufacturing PMI,Low Impact Expected,50.3,50.2,49.2
6242,EUR,German Retail Sales m/m,Low Impact Expected,4.5%,-0.9%,-5.1%
6243,GBP,Nationwide HPI m/m,Low Impact Expected,-0.6%,0.1%,2.1%
6244,AUD,Commodity Prices y/y,Low Impact Expected,62.3%,,50.3%
6245,EUR,Spanish Manufacturing PMI,Low Impact Expected,59.0,58.9,59.5
6246,CHF,Manufacturing PMI,Low Impact Expected,71.1,67.9,67.7
6247,EUR,Italian Manufacturing PMI,Low Impact Expected,60.3,60.1,60.9
6248,EUR,French Final Manufacturing PMI,Low Impact Expected,57.3,57.4,57.5
6249,EUR,German Final Manufacturing PMI,Medium Impact Expected,62.7,62.7,62.6
6250,EUR,Final Manufacturing PMI,Low Impact Expected,61.5,61.5,61.4
6251,EUR,Italian Monthly Unemployment Rate,Low Impact Expected,9.4%,9.6%,9.3%
6252,GBP,Final Manufacturing PMI,Low Impact Expected,60.1,60.1,60.3
6253,EUR,Unemployment Rate,Low Impact Expected,7.8%,7.6%,7.6%
6254,All,OPEC Meetings,High Impact Expected,,,
6255,All,OPEC-JMMC Meetings,High Impact Expected,,,
6256,EUR,German Buba President Weidmann Speaks,Low Impact Expected,,,
6257,USD,ADP Non-Farm Employment Change,High Impact Expected,326K,640K,374K
6258,CAD,Manufacturing PMI,Low Impact Expected,56.2,,57.2
6259,USD,Final Manufacturing PMI,Low Impact Expected,61.2,61.2,61.1
6260,USD,ISM Manufacturing PMI,High Impact Expected,59.5,58.5,59.9
6261,USD,Construction Spending m/m,Low Impact Expected,0.0%,0.2%,0.3%
6262,USD,ISM Manufacturing Prices,Low Impact Expected,85.7,84.1,79.4
6263,USD,Wards Total Vehicle Sales,Low Impact Expected,14.8M,14.4M,13.1M
6264,USD,Crude Oil Inventories,Medium Impact Expected,-3.0M,-2.5M,-7.2M
6265,USD,FOMC Member Bostic Speaks,Medium Impact Expected,,,
6266,AUD,AIG Manufacturing Index,Low Impact Expected,60.8,,51.6
6267,GBP,BRC Shop Price Index y/y,Low Impact Expected,-1.2%,,-0.8%
6268,JPY,Capital Spending q/y,Low Impact Expected,-7.8%,3.4%,5.3%
6269,JPY,Final Manufacturing PMI,Low Impact Expected,52.4,52.4,52.7
6270,AUD,GDP q/q,High Impact Expected,1.9%,0.5%,0.7%
6271,CNY,Caixin Manufacturing PMI,Low Impact Expected,50.3,50.2,49.2
6272,EUR,German Retail Sales m/m,Low Impact Expected,4.5%,-0.9%,-5.1%
6273,GBP,Nationwide HPI m/m,Low Impact Expected,-0.6%,0.1%,2.1%
6274,AUD,Commodity Prices y/y,Low Impact Expected,62.3%,,50.3%
6275,EUR,Spanish Manufacturing PMI,Low Impact Expected,59.0,58.9,59.5
6276,CHF,Manufacturing PMI,Low Impact Expected,71.1,67.9,67.7
6277,EUR,Italian Manufacturing PMI,Low Impact Expected,60.3,60.1,60.9
6278,EUR,French Final Manufacturing PMI,Low Impact Expected,57.3,57.4,57.5
6279,EUR,German Final Manufacturing PMI,Medium Impact Expected,62.7,62.7,62.6
6280,EUR,Final Manufacturing PMI,Low Impact Expected,61.5,61.5,61.4
6281,EUR,Italian Monthly Unemployment Rate,Low Impact Expected,9.4%,9.6%,9.3%
6282,GBP,Final Manufacturing PMI,Low Impact Expected,60.1,60.1,60.3
6283,EUR,Unemployment Rate,Low Impact Expected,7.8%,7.6%,7.6%
6284,All,OPEC Meetings,High Impact Expected,,,
6285,All,OPEC-JMMC Meetings,High Impact Expected,,,
6286,EUR,German Buba President Weidmann Speaks,Low Impact Expected,,,
6287,USD,ADP Non-Farm Employment Change,High Impact Expected,326K,640K,374K
6288,CAD,Manufacturing PMI,Low Impact Expected,56.2,,57.2
6289,USD,Final Manufacturing PMI,Low Impact Expected,61.2,61.2,61.1
6290,USD,ISM Manufacturing PMI,High Impact Expected,59.5,58.5,59.9
6291,USD,Construction Spending m/m,Low Impact Expected,0.0%,0.2%,0.3%
6292,USD,ISM Manufacturing Prices,Low Impact Expected,85.7,84.1,79.4
6293,USD,Wards Total Vehicle Sales,Low Impact Expected,14.8M,14.4M,13.1M
6294,USD,Crude Oil Inventories,Medium Impact Expected,-3.0M,-2.5M,-7.2M
6295,USD,FOMC Member Bostic Speaks,Medium Impact Expected,,,
6296,NZD,Overseas Trade Index q/q,Low Impact Expected,0.1%,0.3%,3.3%
6297,JPY,Monetary Base y/y,Low Impact Expected,15.4%,16.2%,14.9%
6298,AUD,Goods Trade Balance,Low Impact Expected,11.11B,10.10B,12.12B
6299,JPY,10-y Bond Auction,Low Impact Expected,0.01|3.3,,0.02|3.4
6300,CHF,CPI m/m,Low Impact Expected,-0.1%,0.1%,0.2%
6301,CHF,Retail Sales y/y,Low Impact Expected,0.1%,0.2%,-2.6%
6302,CHF,GDP q/q,Low Impact Expected,-0.4%,1.9%,1.8%
6303,EUR,Spanish Unemployment Change,Medium Impact Expected,-197.8K,-164.7K,-82.6K
6304,EUR,Spanish 10-y Bond Auction,Low Impact Expected,0.20|1.3,,0.31|1.7
6305,EUR,French 10-y Bond Auction,Low Impact Expected,-0.23|1.8,,-0.05|1.8
6306,EUR,PPI m/m,Low Impact Expected,1.4%,1.3%,2.3%
6307,USD,Challenger Job Cuts y/y,Low Impact Expected,-92.8%,,-86.4%
6308,CAD,Building Permits m/m,Low Impact Expected,6.9%,1.5%,-3.9%
6309,CAD,Trade Balance,Low Impact Expected,3.2B,1.7B,0.8B
6310,USD,Unemployment Claims,Medium Impact Expected,354K,342K,340K
6311,USD,Revised Nonfarm Productivity q/q,Low Impact Expected,2.3%,2.4%,2.1%
6312,USD,Revised Unit Labor Costs q/q,Low Impact Expected,1.0%,1.0%,1.3%
6313,USD,Trade Balance,Low Impact Expected,-73.2B,-70.7B,-70.1B
6314,USD,Factory Orders m/m,Low Impact Expected,1.5%,0.4%,0.4%
6315,USD,Natural Gas Storage,Low Impact Expected,29B,25B,20B
6316,USD,FOMC Member Bostic Speaks,Medium Impact Expected,,,
6317,USD,FOMC Member Daly Speaks,Medium Impact Expected,,,
6318,NZD,Overseas Trade Index q/q,Low Impact Expected,0.1%,0.3%,3.3%
6319,JPY,Monetary Base y/y,Low Impact Expected,15.4%,16.2%,14.9%
6320,AUD,Goods Trade Balance,Low Impact Expected,11.11B,10.10B,12.12B
6321,JPY,10-y Bond Auction,Low Impact Expected,0.01|3.3,,0.02|3.4
6322,CHF,CPI m/m,Low Impact Expected,-0.1%,0.1%,0.2%
6323,CHF,Retail Sales y/y,Low Impact Expected,0.1%,0.2%,-2.6%
6324,CHF,GDP q/q,Low Impact Expected,-0.4%,1.9%,1.8%
6325,EUR,Spanish Unemployment Change,Medium Impact Expected,-197.8K,-164.7K,-82.6K
6326,EUR,Spanish 10-y Bond Auction,Low Impact Expected,0.20|1.3,,0.31|1.7
6327,EUR,French 10-y Bond Auction,Low Impact Expected,-0.23|1.8,,-0.05|1.8
6328,EUR,PPI m/m,Low Impact Expected,1.4%,1.3%,2.3%
6329,USD,Challenger Job Cuts y/y,Low Impact Expected,-92.8%,,-86.4%
6330,CAD,Building Permits m/m,Low Impact Expected,6.9%,1.5%,-3.9%
6331,CAD,Trade Balance,Low Impact Expected,3.2B,1.7B,0.8B
6332,USD,Unemployment Claims,Medium Impact Expected,354K,342K,340K
6333,USD,Revised Nonfarm Productivity q/q,Low Impact Expected,2.3%,2.4%,2.1%
6334,USD,Revised Unit Labor Costs q/q,Low Impact Expected,1.0%,1.0%,1.3%
6335,USD,Trade Balance,Low Impact Expected,-73.2B,-70.7B,-70.1B
6336,USD,Factory Orders m/m,Low Impact Expected,1.5%,0.4%,0.4%
6337,USD,Natural Gas Storage,Low Impact Expected,29B,25B,20B
6338,USD,FOMC Member Bostic Speaks,Medium Impact Expected,,,
6339,USD,FOMC Member Daly Speaks,Medium Impact Expected,,,
6340,AUD,AIG Construction Index,Low Impact Expected,48.7,,38.4
6341,CNY,Caixin Services PMI,Low Impact Expected,54.9,52.0,46.7
6342,EUR,French Gov Budget Balance,Low Impact Expected,-131.3B,,-166.6B
6343,EUR,Spanish Services PMI,Low Impact Expected,61.9,61.4,60.1
6344,EUR,Italian Services PMI,Low Impact Expected,58.0,58.4,58.0
6345,EUR,French Final Services PMI,Low Impact Expected,56.4,56.4,56.3
6346,EUR,German Final Services PMI,Low Impact Expected,61.5,61.5,60.8
6347,EUR,Final Services PMI,Low Impact Expected,59.7,59.7,59.0
6348,GBP,Final Services PMI,Low Impact Expected,55.5,55.5,55.0
6349,EUR,Retail Sales m/m,Low Impact Expected,1.8%,0.0%,-2.3%
6350,CAD,Labor Productivity q/q,Low Impact Expected,-1.7%,1.5%,0.6%
6351,USD,Average Hourly Earnings m/m,High Impact Expected,0.4%,0.3%,0.6%
6352,USD,Non-Farm Employment Change,High Impact Expected,1053K,720K,235K
6353,USD,Unemployment Rate,High Impact Expected,5.4%,5.2%,5.2%
6354,USD,Final Services PMI,Low Impact Expected,55.2,55.2,55.1
6355,USD,ISM Services PMI,High Impact Expected,64.1,61.9,61.7
6356,USD,President Biden Speaks,Low Impact Expected,,,
6357,AUD,AIG Construction Index,Low Impact Expected,48.7,,38.4
6358,CNY,Caixin Services PMI,Low Impact Expected,54.9,52.0,46.7
6359,EUR,French Gov Budget Balance,Low Impact Expected,-131.3B,,-166.6B
6360,EUR,Spanish Services PMI,Low Impact Expected,61.9,61.4,60.1
6361,EUR,Italian Services PMI,Low Impact Expected,58.0,58.4,58.0
6362,EUR,French Final Services PMI,Low Impact Expected,56.4,56.4,56.3
6363,EUR,German Final Services PMI,Low Impact Expected,61.5,61.5,60.8
6364,EUR,Final Services PMI,Low Impact Expected,59.7,59.7,59.0
6365,GBP,Final Services PMI,Low Impact Expected,55.5,55.5,55.0
6366,EUR,Retail Sales m/m,Low Impact Expected,1.8%,0.0%,-2.3%
6367,CAD,Labor Productivity q/q,Low Impact Expected,-1.7%,1.5%,0.6%
6368,USD,Average Hourly Earnings m/m,High Impact Expected,0.4%,0.3%,0.6%
6369,USD,Non-Farm Employment Change,High Impact Expected,1053K,720K,235K
6370,USD,Unemployment Rate,High Impact Expected,5.4%,5.2%,5.2%
6371,USD,Final Services PMI,Low Impact Expected,55.2,55.2,55.1
6372,USD,ISM Services PMI,High Impact Expected,64.1,61.9,61.7
6373,USD,President Biden Speaks,Low Impact Expected,,,
6374,AUD,MI Inflation Gauge m/m,Low Impact Expected,0.5%,,0.0%
6375,NZD,ANZ Commodity Prices m/m,Low Impact Expected,-1.7%,,-1.6%
6376,AUD,ANZ Job Advertisements m/m,Low Impact Expected,-1.3%,,-2.5%
6377,EUR,German Factory Orders m/m,Low Impact Expected,4.6%,-0.9%,3.4%
6378,EUR,Sentix Investor Confidence,Low Impact Expected,22.2,18.3,19.6
6379,GBP,Construction PMI,Low Impact Expected,58.7,57.4,55.2
6380,GBP,MPC Member Mann Speaks,Low Impact Expected,,,
6381,CAD,Bank Holiday,Non-Economic,,,
6382,USD,Bank Holiday,Non-Economic,,,
6383,AUD,MI Inflation Gauge m/m,Low Impact Expected,0.5%,,0.0%
6384,NZD,ANZ Commodity Prices m/m,Low Impact Expected,-1.7%,,-1.6%
6385,AUD,ANZ Job Advertisements m/m,Low Impact Expected,-1.3%,,-2.5%
6386,EUR,German Factory Orders m/m,Low Impact Expected,4.6%,-0.9%,3.4%
6387,EUR,Sentix Investor Confidence,Low Impact Expected,22.2,18.3,19.6
6388,GBP,Construction PMI,Low Impact Expected,58.7,57.4,55.2
6389,GBP,MPC Member Mann Speaks,Low Impact Expected,,,
6390,CAD,Bank Holiday,Non-Economic,,,
6391,USD,Bank Holiday,Non-Economic,,,
6392,AUD,AIG Services Index,Low Impact Expected,51.7,,45.6
6393,GBP,BRC Retail Sales Monitor y/y,Low Impact Expected,4.7%,3.2%,1.5%
6394,JPY,Average Cash Earnings y/y,Low Impact Expected,0.1%,0.2%,1.0%
6395,JPY,Household Spending y/y,Low Impact Expected,-5.1%,2.6%,0.7%
6396,CNY,USD-Denominated Trade Balance,Low Impact Expected,56.6B,50.5B,58.3B
6397,CNY,Trade Balance,Low Impact Expected,363B,323B,376B
6398,JPY,30-y Bond Auction,Low Impact Expected,0.65|3.1,,0.65|3.0
6399,AUD,RBA Rate Statement,High Impact Expected,,,
6400,AUD,Cash Rate,Medium Impact Expected,0.10%,0.10%,0.10%
6401,JPY,Leading Indicators,Low Impact Expected,104.6%,103.5%,104.1%
6402,GBP,MPC Member Mann Speaks,Low Impact Expected,,,
6403,CHF,Unemployment Rate,Low Impact Expected,3.0%,2.9%,2.9%
6404,EUR,German Industrial Production m/m,Low Impact Expected,-1.0%,1.0%,1.0%
6405,GBP,Halifax HPI m/m,Low Impact Expected,0.4%,1.1%,0.7%
6406,CHF,Foreign Currency Reserves,Low Impact Expected,922B,,929B
6407,GBP,MPC Member Saunders Speaks,Medium Impact Expected,,,
6408,EUR,ZEW Economic Sentiment,Medium Impact Expected,42.7,35.3,31.1
6409,EUR,German ZEW Economic Sentiment,Medium Impact Expected,40.4,30.2,26.5
6410,EUR,Final Employment Change q/q,Low Impact Expected,0.5%,0.5%,0.7%
6411,EUR,Revised GDP q/q,Low Impact Expected,2.0%,2.0%,2.2%
6412,NZD,GDT Price Index,Low Impact Expected,0.3%,,4.0%
6413,AUD,AIG Services Index,Low Impact Expected,51.7,,45.6
6414,GBP,BRC Retail Sales Monitor y/y,Low Impact Expected,4.7%,3.2%,1.5%
6415,JPY,Average Cash Earnings y/y,Low Impact Expected,0.1%,0.2%,1.0%
6416,JPY,Household Spending y/y,Low Impact Expected,-5.1%,2.6%,0.7%
6417,CNY,USD-Denominated Trade Balance,Low Impact Expected,56.6B,50.5B,58.3B
6418,CNY,Trade Balance,Low Impact Expected,363B,323B,376B
6419,JPY,30-y Bond Auction,Low Impact Expected,0.65|3.1,,0.65|3.0
6420,AUD,RBA Rate Statement,High Impact Expected,,,
6421,AUD,Cash Rate,Medium Impact Expected,0.10%,0.10%,0.10%
6422,JPY,Leading Indicators,Low Impact Expected,104.6%,103.5%,104.1%
6423,GBP,MPC Member Mann Speaks,Low Impact Expected,,,
6424,CHF,Unemployment Rate,Low Impact Expected,3.0%,2.9%,2.9%
6425,EUR,German Industrial Production m/m,Low Impact Expected,-1.0%,1.0%,1.0%
6426,GBP,Halifax HPI m/m,Low Impact Expected,0.4%,1.1%,0.7%
6427,CHF,Foreign Currency Reserves,Low Impact Expected,922B,,929B
6428,GBP,MPC Member Saunders Speaks,Medium Impact Expected,,,
6429,EUR,ZEW Economic Sentiment,Medium Impact Expected,42.7,35.3,31.1
6430,EUR,German ZEW Economic Sentiment,Medium Impact Expected,40.4,30.2,26.5
6431,EUR,Final Employment Change q/q,Low Impact Expected,0.5%,0.5%,0.7%
6432,EUR,Revised GDP q/q,Low Impact Expected,2.0%,2.0%,2.2%
6433,NZD,GDT Price Index,Low Impact Expected,0.3%,,4.0%
6434,JPY,Bank Lending y/y,Low Impact Expected,0.9%,1.0%,0.6%
6435,JPY,Current Account,Low Impact Expected,1.78T,1.85T,1.41T
6436,JPY,Final GDP q/q,Low Impact Expected,0.3%,0.3%,0.5%
6437,JPY,Final GDP Price Index y/y,Low Impact Expected,-0.7%,-0.7%,-1.1%
6438,JPY,Economy Watchers Sentiment,Low Impact Expected,48.4,45.9,34.7
6439,EUR,French Final Private Payrolls q/q,Low Impact Expected,1.2%,1.2%,1.4%
6440,EUR,French Trade Balance,Low Impact Expected,-6.1B,-6.2B,-7.0B
6441,EUR,Italian Retail Sales m/m,Low Impact Expected,0.7%,0.3%,-0.4%
6442,AUD,RBA Deputy Gov Debelle Speaks,Low Impact Expected,,,
6443,EUR,German 10-y Bond Auction,Low Impact Expected,-0.44|1.4,,-0.38|1.1
6444,CAD,BOC Rate Statement,High Impact Expected,,,
6445,CAD,Ivey PMI,Medium Impact Expected,56.4,59.2,66.0
6446,CAD,Overnight Rate,Medium Impact Expected,0.25%,0.25%,0.25%
6447,USD,JOLTS Job Openings,Medium Impact Expected,10.19M,10.03M,10.93M
6448,USD,RCM/TIPP Economic Optimism,Low Impact Expected,53.6,55.3,48.5
6449,GBP,Monetary Policy Report Hearings,High Impact Expected,,,
6450,USD,10-y Bond Auction,Medium Impact Expected,1.34|2.6,,1.34|2.6
6451,USD,FOMC Member Williams Speaks,Medium Impact Expected,,,
6452,USD,Beige Book,Low Impact Expected,,,
6453,USD,Consumer Credit m/m,Low Impact Expected,37.9B,24.5B,17.0B
6454,JPY,Bank Lending y/y,Low Impact Expected,0.9%,1.0%,0.6%
6455,JPY,Current Account,Low Impact Expected,1.78T,1.85T,1.41T
6456,JPY,Final GDP q/q,Low Impact Expected,0.3%,0.3%,0.5%
6457,JPY,Final GDP Price Index y/y,Low Impact Expected,-0.7%,-0.7%,-1.1%
6458,JPY,Economy Watchers Sentiment,Low Impact Expected,48.4,45.9,34.7
6459,EUR,French Final Private Payrolls q/q,Low Impact Expected,1.2%,1.2%,1.4%
6460,EUR,French Trade Balance,Low Impact Expected,-6.1B,-6.2B,-7.0B
6461,EUR,Italian Retail Sales m/m,Low Impact Expected,0.7%,0.3%,-0.4%
6462,AUD,RBA Deputy Gov Debelle Speaks,Low Impact Expected,,,
6463,EUR,German 10-y Bond Auction,Low Impact Expected,-0.44|1.4,,-0.38|1.1
6464,CAD,BOC Rate Statement,High Impact Expected,,,
6465,CAD,Ivey PMI,Medium Impact Expected,56.4,59.2,66.0
6466,CAD,Overnight Rate,Medium Impact Expected,0.25%,0.25%,0.25%
6467,USD,JOLTS Job Openings,Medium Impact Expected,10.19M,10.03M,10.93M
6468,USD,RCM/TIPP Economic Optimism,Low Impact Expected,53.6,55.3,48.5
6469,GBP,Monetary Policy Report Hearings,High Impact Expected,,,
6470,USD,10-y Bond Auction,Medium Impact Expected,1.34|2.6,,1.34|2.6
6471,USD,FOMC Member Williams Speaks,Medium Impact Expected,,,
6472,USD,Beige Book,Low Impact Expected,,,
6473,USD,Consumer Credit m/m,Low Impact Expected,37.9B,24.5B,17.0B
6474,NZD,Manufacturing Sales q/q,Low Impact Expected,2.7%,,3.9%
6475,GBP,RICS House Price Balance,Low Impact Expected,77%,75%,73%
6476,JPY,M2 Money Stock y/y,Low Impact Expected,5.3%,4.7%,4.7%
6477,CNY,CPI y/y,Low Impact Expected,1.0%,1.0%,0.8%
6478,CNY,PPI y/y,Low Impact Expected,9.0%,9.1%,9.5%
6479,EUR,German Trade Balance,Low Impact Expected,13.5B,13.3B,17.9B
6480,JPY,Prelim Machine Tool Orders y/y,Low Impact Expected,93.4%,,86.2%
6481,AUD,RBA Deputy Gov Debelle Speaks,Low Impact Expected,,,
6482,EUR,Monetary Policy Statement,High Impact Expected,,,
6483,EUR,Main Refinancing Rate,Medium Impact Expected,0.00%,0.00%,0.00%
6484,EUR,ECB Press Conference,High Impact Expected,,,
6485,USD,Unemployment Claims,Medium Impact Expected,345K,343K,310K
6486,All,BRICS Summit,Medium Impact Expected,,,
6487,USD,Natural Gas Storage,Low Impact Expected,20B,38B,52B
6488,USD,Crude Oil Inventories,Medium Impact Expected,-7.2M,-5.9M,-1.5M
6489,USD,FOMC Member Daly Speaks,Low Impact Expected,,,
6490,USD,FOMC Member Evans Speaks,Low Impact Expected,,,
6491,CAD,BOC Gov Macklem Speaks,High Impact Expected,,,
6492,USD,FOMC Member Bowman Speaks,Low Impact Expected,,,
6493,USD,30-y Bond Auction,Medium Impact Expected,2.04|2.2,,1.91|2.5
6494,USD,FOMC Member Williams Speaks,Low Impact Expected,,,
6495,NZD,Manufacturing Sales q/q,Low Impact Expected,2.7%,,3.9%
6496,GBP,RICS House Price Balance,Low Impact Expected,77%,75%,73%
6497,JPY,M2 Money Stock y/y,Low Impact Expected,5.3%,4.7%,4.7%
6498,CNY,CPI y/y,Low Impact Expected,1.0%,1.0%,0.8%
6499,CNY,PPI y/y,Low Impact Expected,9.0%,9.1%,9.5%
6500,EUR,German Trade Balance,Low Impact Expected,13.5B,13.3B,17.9B
6501,JPY,Prelim Machine Tool Orders y/y,Low Impact Expected,93.4%,,86.2%
6502,AUD,RBA Deputy Gov Debelle Speaks,Low Impact Expected,,,
6503,EUR,Monetary Policy Statement,High Impact Expected,,,
6504,EUR,Main Refinancing Rate,Medium Impact Expected,0.00%,0.00%,0.00%
6505,EUR,ECB Press Conference,High Impact Expected,,,
6506,USD,Unemployment Claims,Medium Impact Expected,345K,343K,310K
6507,All,BRICS Summit,Medium Impact Expected,,,
6508,USD,Natural Gas Storage,Low Impact Expected,20B,38B,52B
6509,USD,Crude Oil Inventories,Medium Impact Expected,-7.2M,-5.9M,-1.5M
6510,USD,FOMC Member Daly Speaks,Low Impact Expected,,,
6511,USD,FOMC Member Evans Speaks,Low Impact Expected,,,
6512,CAD,BOC Gov Macklem Speaks,High Impact Expected,,,
6513,USD,FOMC Member Bowman Speaks,Low Impact Expected,,,
6514,USD,30-y Bond Auction,Medium Impact Expected,2.04|2.2,,1.91|2.5
6515,USD,FOMC Member Williams Speaks,Low Impact Expected,,,
6516,NZD,Visitor Arrivals m/m,Low Impact Expected,-10.4%,,-41.4%
6517,EUR,German Final CPI m/m,Low Impact Expected,0.0%,0.0%,0.0%
6518,GBP,Construction Output m/m,Low Impact Expected,-1.3%,0.6%,-1.6%
6519,GBP,GDP m/m,Low Impact Expected,1.0%,0.5%,0.1%
6520,GBP,Goods Trade Balance,Low Impact Expected,-12.0B,-10.9B,-12.7B
6521,GBP,Index of Services 3m/3m,Low Impact Expected,5.7%,4.7%,4.5%
6522,GBP,Industrial Production m/m,Low Impact Expected,-0.7%,0.3%,1.2%
6523,GBP,Manufacturing Production m/m,Low Impact Expected,0.2%,0.1%,0.0%
6524,EUR,French Industrial Production m/m,Low Impact Expected,0.6%,0.4%,0.3%
6525,EUR,Italian Industrial Production m/m,Low Impact Expected,1.1%,0.0%,0.8%
6526,CNY,M2 Money Supply y/y,Low Impact Expected,8.3%,8.4%,8.2%
6527,CNY,New Loans,Low Impact Expected,1080B,1325B,1220B
6528,EUR,Eurogroup Meetings,Low Impact Expected,,,
6529,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
6530,EUR,ECOFIN Meetings,Low Impact Expected,,,
6531,CAD,Employment Change,High Impact Expected,94.0K,67.2K,90.2K
6532,CAD,Unemployment Rate,High Impact Expected,7.5%,7.3%,7.1%
6533,CAD,Capacity Utilization Rate,Low Impact Expected,81.4%,81.4%,82.0%
6534,USD,PPI m/m,High Impact Expected,1.0%,0.6%,0.7%
6535,USD,Core PPI m/m,Medium Impact Expected,1.0%,0.5%,0.6%
6536,GBP,NIESR GDP Estimate,Low Impact Expected,3.6%,,2.4%
6537,USD,Final Wholesale Inventories m/m,Low Impact Expected,0.6%,0.6%,0.6%
6538,NZD,Visitor Arrivals m/m,Low Impact Expected,-10.4%,,-41.4%
6539,EUR,German Final CPI m/m,Low Impact Expected,0.0%,0.0%,0.0%
6540,GBP,Construction Output m/m,Low Impact Expected,-1.3%,0.6%,-1.6%
6541,GBP,GDP m/m,Low Impact Expected,1.0%,0.5%,0.1%
6542,GBP,Goods Trade Balance,Low Impact Expected,-12.0B,-10.9B,-12.7B
6543,GBP,Index of Services 3m/3m,Low Impact Expected,5.7%,4.7%,4.5%
6544,GBP,Industrial Production m/m,Low Impact Expected,-0.7%,0.3%,1.2%
6545,GBP,Manufacturing Production m/m,Low Impact Expected,0.2%,0.1%,0.0%
6546,EUR,French Industrial Production m/m,Low Impact Expected,0.6%,0.4%,0.3%
6547,EUR,Italian Industrial Production m/m,Low Impact Expected,1.1%,0.0%,0.8%
6548,CNY,M2 Money Supply y/y,Low Impact Expected,8.3%,8.4%,8.2%
6549,CNY,New Loans,Low Impact Expected,1080B,1325B,1220B
6550,EUR,Eurogroup Meetings,Low Impact Expected,,,
6551,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
6552,EUR,ECOFIN Meetings,Low Impact Expected,,,
6553,CAD,Employment Change,High Impact Expected,94.0K,67.2K,90.2K
6554,CAD,Unemployment Rate,High Impact Expected,7.5%,7.3%,7.1%
6555,CAD,Capacity Utilization Rate,Low Impact Expected,81.4%,81.4%,82.0%
6556,USD,PPI m/m,High Impact Expected,1.0%,0.6%,0.7%
6557,USD,Core PPI m/m,Medium Impact Expected,1.0%,0.5%,0.6%
6558,GBP,NIESR GDP Estimate,Low Impact Expected,3.6%,,2.4%
6559,USD,Final Wholesale Inventories m/m,Low Impact Expected,0.6%,0.6%,0.6%
6560,EUR,ECOFIN Meetings,Low Impact Expected,,,
6561,EUR,ECOFIN Meetings,Low Impact Expected,,,
6562,NZD,FPI m/m,Low Impact Expected,1.3%,,0.3%
6563,JPY,BSI Manufacturing Index,Low Impact Expected,-1.4,-0.9,7.0
6564,JPY,PPI y/y,Low Impact Expected,5.6%,5.7%,5.5%
6565,NZD,Prelim ANZ Business Confidence,Low Impact Expected,-14.2,,-6.8
6566,EUR,German WPI m/m,Low Impact Expected,1.1%,0.8%,0.5%
6567,EUR,Italian Quarterly Unemployment Rate,Low Impact Expected,10.1%,10.1%,9.8%
6568,USD,Federal Budget Balance,Low Impact Expected,-302.1B,-260.5B,-170.6B
6569,NZD,FPI m/m,Low Impact Expected,1.3%,,0.3%
6570,JPY,BSI Manufacturing Index,Low Impact Expected,-1.4,-0.9,7.0
6571,JPY,PPI y/y,Low Impact Expected,5.6%,5.7%,5.5%
6572,NZD,Prelim ANZ Business Confidence,Low Impact Expected,-14.2,,-6.8
6573,EUR,German WPI m/m,Low Impact Expected,1.1%,0.8%,0.5%
6574,EUR,Italian Quarterly Unemployment Rate,Low Impact Expected,10.1%,10.1%,9.8%
6575,USD,Federal Budget Balance,Low Impact Expected,-302.1B,-260.5B,-170.6B
6576,AUD,RBA Assist Gov Ellis Speaks,Low Impact Expected,,,
